level,section,row,seat,zone,zone_id,price,map_x,map_y,seat_type,aisle,view_image_id,tessitura_seat,seat_id
orchestra,orchestra,J,119,Orchestra Premium,5058,351.0,1225.23,715.72,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,172936,53696b48-478b-42c9-8074-e85bf17373c2
orchestra,orchestra,J,121,Orchestra Premium,5058,351.0,1253.33,719.52,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,172937,04d97177-056d-4953-9ef1-3fb46f532efe
orchestra,orchestra,J,123,Orchestra Premium,5058,351.0,1281.4,724.61,1,0,297c1ff2-0678-44cf-b7e3-82b6a2e93ff9,172938,5c50cd95-f1fe-4187-aef1-3b16d11f1bb9
orchestra,orchestra,K,101,Orchestra Premium,5058,351.0,999.39,661.03,1,0,1369f560-4e89-4009-8020-471cb933e3f7,172848,78a97a25-d2e0-4377-827a-623f5993d202
orchestra,orchestra,K,103,Orchestra Premium,5058,351.0,1027.7,662.29,1,0,1369f560-4e89-4009-8020-471cb933e3f7,172849,f4435b5f-a876-4fb3-bd92-e5f34211014a
orchestra,orchestra,K,105,Orchestra Premium2,5059,351.0,1055.99,663.32,1,0,1369f560-4e89-4009-8020-471cb933e3f7,172850,e25b9024-645f-49be-8dbc-eeae7bf96efb
orchestra,orchestra,K,107,Orchestra Premium2,5059,351.0,1084.26,664.9,1,0,1369f560-4e89-4009-8020-471cb933e3f7,172851,482215dc-6627-4b7b-a439-e21cf1a0ff4a
orchestra,orchestra,K,109,Orchestra Premium2,5059,351.0,1112.51,666.72,1,0,1369f560-4e89-4009-8020-471cb933e3f7,172852,a615641e-804f-4807-8b9e-646b55158d98
orchestra,orchestra,K,111,Orchestra Premium2,5059,351.0,1140.74,668.83,1,0,1369f560-4e89-4009-8020-471cb933e3f7,172853,e245553b-cbfe-417f-b265-d1caf461f0e4
orchestra,orchestra,K,113,Orchestra Premium2,5059,351.0,1168.93,671.72,1,0,1369f560-4e89-4009-8020-471cb933e3f7,172854,53539d7f-c218-4603-8c95-8a600285612b
orchestra,orchestra,K,115,Orchestra Premium2,5059,351.0,1197.11,674.88,1,0,1369f560-4e89-4009-8020-471cb933e3f7,172855,c5fc6c71-88cb-424b-a099-ef31a9b14e5a
orchestra,orchestra,K,117,Orchestra Premium2,5059,351.0,1225.25,678.3,1,0,1369f560-4e89-4009-8020-471cb933e3f7,172856,53074f75-5528-4ac2-b62a-5fa253cdb32e
orchestra,orchestra,K,119,Orchestra Premium2,5059,351.0,1253.36,681.99,1,0,1369f560-4e89-4009-8020-471cb933e3f7,172857,95c96b96-1df3-4f2d-a473-e39fcb4d6b64
orchestra,orchestra,K,121,Orchestra Premium2,5059,351.0,1281.44,686.97,1,0,1369f560-4e89-4009-8020-471cb933e3f7,172858,1a2b130e-6027-41d5-b120-f3d5dc4b8612
orchestra,orchestra,L,101,Orchestra Premium,5058,351.0,971.1,623.8,1,0,1369f560-4e89-4009-8020-471cb933e3f7,172767,d30cd74c-e242-4159-b47f-571e5aaa67ed
orchestra,orchestra,L,103,Orchestra Premium,5058,351.0,999.42,623.7,1,0,1369f560-4e89-4009-8020-471cb933e3f7,172768,682e40b2-15bb-4fbb-9c10-09a6a4826067
orchestra,orchestra,L,105,Orchestra Premium2,5059,351.0,1027.73,625.02,1,0,1369f560-4e89-4009-8020-471cb933e3f7,172769,3f0a0b80-d099-41eb-ba21-b5ebf3d65989
orchestra,orchestra,L,107,Orchestra Premium2,5059,351.0,1056.02,626.12,1,0,1369f560-4e89-4009-8020-471cb933e3f7,172770,a136b218-3ff8-491c-8eec-2c6442c7b314
orchestra,orchestra,L,109,Orchestra Premium2,5059,351.0,1084.29,627.77,1,0,1369f560-4e89-4009-8020-471cb933e3f7,172771,2f84a18b-e1d4-4eb8-8e08-cc6dc7a46646
orchestra,orchestra,L,111,Orchestra Premium2,5059,351.0,1112.53,629.65,1,0,1369f560-4e89-4009-8020-471cb933e3f7,172772,edae2dd2-07df-4d0d-a1ed-c813c3c5253e
orchestra,orchestra,L,113,Orchestra Premium2,5059,351.0,1140.75,631.83,1,0,1369f560-4e89-4009-8020-471cb933e3f7,172773,97102b14-6617-4201-a935-f16924e9c492
orchestra,orchestra,L,115,Orchestra Premium2,5059,351.0,1168.94,634.79,1,0,1369f560-4e89-4009-8020-471cb933e3f7,172774,af6163f3-2622-474c-933d-64d9c227eb6e
orchestra,orchestra,L,117,Orchestra Premium2,5059,351.0,1197.1,638.01,1,0,1369f560-4e89-4009-8020-471cb933e3f7,172775,9c610f6f-e45a-40a6-a756-1363183ce281
orchestra,orchestra,L,119,Orchestra Premium2,5059,351.0,1225.24,641.5,1,0,1369f560-4e89-4009-8020-471cb933e3f7,172776,5e4a5d6e-e3b3-497e-a3d4-8ff3ecf6e5d0
orchestra,orchestra,L,121,Orchestra Premium2,5059,351.0,1253.34,645.26,1,0,1369f560-4e89-4009-8020-471cb933e3f7,172777,6eb752fc-4474-4fca-992f-8af276d82c7b
orchestra,orchestra,L,123,Orchestra Premium2,5059,351.0,1281.42,649.31,17,0,1369f560-4e89-4009-8020-471cb933e3f7,172778,af5fe41c-287e-48e0-ae62-43b2730ed9fb
orchestra,orchestra,M,101,Orchestra Premium,5058,351.0,999.38,587.04,1,0,1369f560-4e89-4009-8020-471cb933e3f7,172688,9d4f1e10-c839-4099-9792-cdddce77aae0
orchestra,orchestra,M,103,Orchestra Premium,5058,351.0,1027.7,588.28,1,0,1369f560-4e89-4009-8020-471cb933e3f7,172689,e64e923d-302b-4ebf-9d19-c57069933599
orchestra,orchestra,M,105,Orchestra Premium2,5059,351.0,1055.99,589.3,1,0,1369f560-4e89-4009-8020-471cb933e3f7,172690,78ba06c9-ecb9-49e5-ab9a-c89dc687eaa9
orchestra,orchestra,M,107,Orchestra Premium2,5059,351.0,1084.26,590.87,1,0,1369f560-4e89-4009-8020-471cb933e3f7,172691,c1a58618-9f21-4a18-8646-c1f292af2ffc
orchestra,orchestra,M,109,Orchestra Premium2,5059,351.0,1112.5,592.66,1,0,1369f560-4e89-4009-8020-471cb933e3f7,172692,392f2775-5f4e-4886-9e73-7a770aba6e04
orchestra,orchestra,M,111,Orchestra Premium2,5059,351.0,1140.73,594.75,1,0,1369f560-4e89-4009-8020-471cb933e3f7,172693,32d95d13-8238-49fb-a646-e8094908deaf
